Flows:0-0
0 1 1 1 0 0 2 3 0 1 1 0 1 0 4 5 4 1 2 3 5 4 2 1 0 0 2 4 5 1 1 0 0 3 5 0 1 1 2 0 0 2 0 0 0 0 3 4 6 2 4 3 0 0 1 0 0 1 1 2 0 1 0 0 1 1 3 0 0 0 1 0 1 0 
0 3 3 4 1 2 3 6 1 2 2 1 3 2 9 10 6 2 3 4 9 12 8 5 4 1 6 5 5 0 0 0 0 2 4 1 2 2 2 0 1 4 0 1 0 2 5 6 5 2 6 5 2 2 4 0 0 3 3 4 1 1 2 0 2 1 4 1 0 1 1 2 2 2 
1 6 10 9 3 5 10 15 2 5 10 4 5 5 25 32 17 4 9 7 18 22 15 8 8 2 11 10 10 2 3 1 1 11 9 3 4 7 8 5 3 15 3 2 2 4 19 17 22 8 16 10 3 4 6 2 0 8 6 10 7 5 5 0 6 4 14 1 1 2 5 5 3 4 
0 4 3 2 1 1 3 7 0 1 5 2 4 2 11 16 6 1 2 2 9 12 10 6 6 1 6 2 4 0 1 0 0 3 3 0 2 3 3 1 0 3 1 0 0 1 4 3 3 2 5 4 2 2 2 1 0 2 1 3 0 1 1 0 1 1 3 0 0 1 1 1 2 0 
0 0 2 0 0 0 1 2 0 0 1 0 0 1 3 3 1 0 0 0 3 3 2 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 1 1 0 0 1 2 1 2 4 5 4 2 5 3 2 0 0 1 2 3 3 2 5 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 1 1 1 2 1 3 3 0 0 2 3 3 1 2 0 0 1 0 1 0 0 0 0 0 0 2 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 2 2 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 1 0 0 1 0 1 1 2 4 2 0 1 3 5 3 1 1 0 0 2 3 4 0 0 1 0 2 1 0 0 0 1 0 0 2 0 0 0 0 1 4 2 0 3 2 0 0 0 0 0 1 0 2 0 0 1 0 0 1 2 0 0 1 1 0 0 0 
0 0 1 2 0 1 1 2 0 0 1 0 1 1 3 4 2 1 3 2 3 5 1 0 1 0 4 9 7 3 1 1 0 7 4 2 1 1 0 1 0 2 0 0 0 0 4 4 4 1 8 5 0 0 0 0 0 0 0 1 1 0 0 0 0 0 4 0 0 1 0 0 0 0 
0 0 1 1 0 0 1 2 0 0 0 0 0 1 2 4 4 2 2 2 2 4 1 1 0 0 1 4 4 1 1 0 0 3 2 0 0 0 0 0 0 1 0 0 0 0 2 4 3 1 3 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 
