Flows:0-0
6 5 4 3 2 6 10 1 2 7 2 3 5 13 10 10 3 7 3 14 16 9 7 2 6 1 1 5 7 5 1 0 1 0 1 4 6 1 3 3 6 3 3 10 1 1 1 2 9 9 9 3 8 7 2 2 3 2 0 7 3 7 3 2 3 0 3 3 6 1 0 0 2 2 3 2 
4 2 3 4 2 3 5 1 1 4 2 3 3 10 13 6 3 5 4 8 11 5 3 0 3 1 0 3 4 6 2 0 2 1 0 6 6 1 3 5 4 3 1 11 1 1 1 3 13 7 8 4 8 6 1 2 3 0 0 7 2 5 3 2 2 0 3 2 7 1 0 1 2 3 3 2 
2 0 2 1 0 1 2 0 0 2 0 1 1 2 3 4 1 2 1 2 3 1 0 0 1 0 0 1 3 2 1 0 0 1 0 3 6 0 2 2 2 1 0 4 0 0 0 0 5 4 4 1 3 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 3 1 0 0 1 0 1 0 
6 2 4 3 0 3 4 0 1 2 0 2 2 5 8 7 4 5 1 4 5 2 1 0 1 0 0 2 4 4 2 0 1 2 0 7 8 1 1 2 2 1 0 5 0 0 0 1 7 5 7 2 5 2 0 0 2 1 0 2 1 4 1 1 2 0 1 1 4 0 0 1 2 1 1 1 
2 1 1 2 0 1 2 0 1 2 0 1 1 4 4 3 2 2 1 4 4 2 1 0 0 0 1 3 3 4 1 0 1 0 0 5 6 1 1 1 1 1 0 5 0 0 0 1 5 5 8 2 5 3 0 0 2 0 0 2 2 3 1 1 1 0 1 1 4 0 1 1 2 1 2 0 
5 3 5 3 2 3 5 1 1 4 0 3 3 12 15 8 2 4 4 11 13 9 5 1 3 1 2 6 6 6 1 0 1 0 0 4 4 1 2 4 3 1 1 7 1 1 0 1 8 6 7 4 7 5 3 2 4 0 0 5 2 5 2 2 2 0 3 1 5 1 0 2 1 2 2 3 
8 5 9 11 5 10 13 2 4 10 3 6 8 24 27 15 5 8 7 13 22 14 9 3 9 3 2 9 13 9 2 0 4 1 1 9 11 3 6 6 11 6 3 18 2 3 2 3 19 17 21 8 14 10 2 4 6 2 1 11 6 10 5 4 5 0 8 3 16 2 2 3 6 4 6 6 
3 2 3 3 2 3 5 1 3 4 3 3 3 10 12 8 2 3 2 10 16 8 8 3 6 2 1 6 4 3 0 0 1 0 0 2 5 0 1 3 3 1 0 5 0 1 0 1 6 4 3 2 6 4 3 3 2 1 0 3 3 4 2 1 1 0 2 1 3 0 0 2 2 1 2 1 
0 0 2 0 0 1 1 0 0 1 0 0 0 3 2 1 0 1 0 3 3 2 3 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
