Flows:0-0
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 1 1 0 0 1 2 1 3 4 3 4 1 4 4 1 0 0 1 2 5 3 2 1 5 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 3 2 0 0 2 1 4 1 2 1 0 0 0 1 0 0 0 0 0 0 2 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 2 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 
0 0 0 0 0 0 1 1 0 0 0 0 1 0 3 5 2 0 2 3 5 4 2 1 0 1 0 0 3 3 4 0 0 0 0 0 2 1 0 0 1 1 0 0 2 0 0 0 0 0 1 2 2 1 2 3 0 1 1 0 0 0 0 1 0 0 0 0 1 1 3 0 0 1 0 0 1 0 
1 0 2 2 0 0 2 2 0 0 1 0 1 1 3 4 3 2 3 2 4 5 2 0 0 0 0 0 4 9 8 3 0 1 2 1 6 6 0 1 1 0 1 0 3 0 0 0 0 0 4 5 5 4 8 5 0 0 0 0 0 1 1 1 1 1 1 0 1 0 5 0 0 1 0 1 1 1 
2 0 0 0 0 0 1 2 0 0 1 0 1 1 2 5 2 1 3 1 2 4 1 1 0 0 0 0 3 3 4 0 0 0 0 0 3 3 0 0 0 0 1 0 1 0 0 0 0 0 2 3 3 1 3 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 2 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 3 2 1 0 0 0 0 0 2 0 0 0 0 0 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 0 1 1 1 0 1 2 0 0 1 0 1 0 3 2 3 2 5 1 2 1 1 0 0 1 0 0 1 4 4 2 0 0 2 1 12 14 3 3 3 2 1 0 8 1 1 0 0 1 8 6 7 3 5 2 0 0 1 0 0 3 2 2 0 1 1 0 1 1 2 0 0 1 0 0 2 0 
6 1 2 2 0 1 3 5 0 1 3 0 2 2 5 5 7 6 9 3 3 5 2 1 0 0 0 0 1 7 5 4 0 0 2 2 17 27 3 4 8 6 3 0 11 1 1 0 0 2 10 8 6 2 9 3 0 1 3 1 1 4 4 2 2 2 2 0 2 2 5 0 1 1 2 2 1 1 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 3 5 2 4 3 1 2 0 5 1 1 0 0 0 5 3 2 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 1 0 1 1 0 0 0 0 0 0 0 2 1 0 0 0 0 1 3 6 1 3 3 1 2 2 6 1 0 0 0 0 5 1 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
1 0 0 0 0 0 1 2 0 0 1 0 0 1 2 3 1 2 2 0 1 1 1 0 0 0 0 0 1 2 1 0 0 0 0 1 5 13 3 4 9 4 3 2 10 1 1 0 0 1 8 5 4 1 3 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 2 1 0 
0 0 0 1 0 0 0 2 0 0 1 0 0 0 2 4 2 0 1 0 2 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 6 0 0 3 5 2 0 5 0 0 0 0 1 3 2 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 
1 0 1 1 0 0 0 1 0 0 1 0 0 0 2 3 2 0 1 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 1 2 4 1 1 3 2 4 1 8 1 2 0 1 0 6 3 3 2 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 1 1 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 1 1 0 1 1 4 0 0 1 0 0 1 3 4 2 1 2 1 1 2 0 0 0 0 0 0 0 3 1 0 0 0 1 2 5 8 3 9 5 2 7 3 33 5 5 1 2 4 27 7 5 2 4 1 0 0 0 0 0 2 2 2 0 1 1 0 1 0 2 0 0 18 2 4 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 3 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
